order_id,city,pincode,is_cod,is_guest,cart_value,hour_of_day
ORD-2026-9000,Bangalore,560034,1,1,1375,4
ORD-2026-9001,Bangalore,560034,1,0,9682,11
ORD-2026-9002,Kolkata,700001,1,0,7526,16
ORD-2026-9003,Chennai,600001,1,0,4641,22
ORD-2026-9004,Kolkata,700001,0,1,7465,12
ORD-2026-9005,Chennai,600001,0,0,7578,22
ORD-2026-9006,Kolkata,700001,0,1,8486,2
ORD-2026-9007,Kolkata,700001,1,1,7298,8
ORD-2026-9008,Pune,411001,1,0,4964,16
ORD-2026-9009,Mumbai,400001,1,1,1134,16
ORD-2026-9010,Kolkata,700001,0,0,2192,19
ORD-2026-9011,Pune,411001,1,1,10373,15
ORD-2026-9012,New Delhi,110001,1,1,5251,21
ORD-2026-9013,Mumbai,400001,0,0,8810,12
ORD-2026-9014,Kolkata,700001,0,0,1329,18
ORD-2026-9015,Jaipur,302001,0,1,12366,16
ORD-2026-9016,Bangalore,560034,1,0,5676,3
ORD-2026-9017,New Delhi,110001,1,0,10060,11
ORD-2026-9018,New Delhi,110001,1,0,9431,8
ORD-2026-9019,Pune,411001,0,0,8807,18
ORD-2026-9020,New Delhi,110001,1,1,6448,11
ORD-2026-9021,Mumbai,400001,0,0,3337,8
ORD-2026-9022,Kolkata,700001,0,0,1649,6
ORD-2026-9023,Kolkata,700001,1,0,8059,13
ORD-2026-9024,Jaipur,302001,1,1,2430,19
ORD-2026-9025,Bangalore,560034,1,0,9703,18
ORD-2026-9026,Pune,411001,0,1,2163,14
ORD-2026-9027,Bangalore,560034,1,0,1580,15
ORD-2026-9028,New Delhi,110001,1,1,1011,20
ORD-2026-9029,Jaipur,302001,0,0,11540,4
ORD-2026-9030,Bangalore,560034,1,0,8304,2
ORD-2026-9031,Mumbai,400001,0,0,5736,11
ORD-2026-9032,Kolkata,700001,0,1,1058,19
ORD-2026-9033,New Delhi,110001,1,1,4171,20
ORD-2026-9034,Jaipur,302001,1,0,7903,3
ORD-2026-9035,Bangalore,560034,1,1,3842,20
ORD-2026-9036,Pune,411001,1,1,4569,22
ORD-2026-9037,Mumbai,400001,0,0,10161,15
ORD-2026-9038,Mumbai,400001,1,0,1079,6
ORD-2026-9039,Bangalore,560034,1,0,7503,12
ORD-2026-9040,Kolkata,700001,0,0,10985,20
ORD-2026-9041,Bangalore,560034,1,1,8629,9
ORD-2026-9042,New Delhi,110001,0,1,3646,6
ORD-2026-9043,Bangalore,560034,1,1,4748,13
ORD-2026-9044,Mumbai,400001,0,0,2178,4
ORD-2026-9045,Jaipur,302001,1,0,4005,2
ORD-2026-9046,Bangalore,560034,1,1,7752,22
ORD-2026-9047,Kolkata,700001,1,1,3243,10
ORD-2026-9048,Jaipur,302001,1,1,12047,10
ORD-2026-9049,Pune,411001,0,1,12736,17
ORD-2026-9050,Chennai,600001,1,1,9934,14
ORD-2026-9051,Bangalore,560034,1,0,5687,11
ORD-2026-9052,Kolkata,700001,1,0,11809,8
ORD-2026-9053,Jaipur,302001,1,1,2640,9
ORD-2026-9054,Kolkata,700001,1,1,11750,11
