order_id,is_cod,is_guest,cart_value,hour_of_day
35,1,0,3270,14
3719,0,0,1337,13
1618,1,0,4185,5
3886,1,1,2596,11
1143,1,1,1807,16
3341,1,0,4897,20
4485,1,0,3471,15
3565,1,0,3183,15
1625,1,0,3967,3
1297,0,0,3850,19
3838,1,1,589,19
3028,1,0,4980,9
228,1,0,1695,18
166,0,0,3208,18
4901,1,0,4890,10
4840,1,1,2574,14
404,0,0,3184,5
2199,0,1,3046,0
4001,1,0,2242,14
2052,0,1,4114,7
2308,0,1,4270,17
1250,1,0,1113,11
1413,0,0,513,5
443,0,1,4400,23
1363,1,0,2063,14
4969,1,0,931,0
2096,1,1,835,16
4234,0,1,2783,6
4658,0,0,1927,9
1665,1,1,2993,9
1945,1,1,3129,15
4549,1,1,3563,23
1424,1,0,2025,1
2033,1,0,3174,1
1115,1,1,833,1
892,1,0,4301,10
2128,1,0,4902,6
1396,1,0,2690,3
4507,0,0,1920,13
4364,0,0,719,8
4191,1,0,1157,1
3794,0,0,3390,1
1484,0,0,3245,2
12,1,0,3673,17
2438,1,0,2081,17
509,1,0,1847,6
1920,1,1,2896,4
3278,0,0,3572,8
3691,1,0,4767,15
631,1,0,3764,18
